,N_title,N_type,N_description,N_release_year,N_age_certification,N_production_countries,N_runtime,N_seasons,D_title,D_type,D_description,D_release_year,D_rating,D_country,D_duration,IMDBShows_Series_Title,IMDBShows_IMDB_Rating,IMDBMovies.IMDB_Rating,IMDBMovies.Series_Title,TvShowsAndMoviesWithRating_title,TvShowsAndMoviesWithRating_type,TvShowsAndMoviesWithRating_description,TvShowsAndMoviesWithRating_release_year,TvShowsAndMoviesWithRating_age_certification,TvShowsAndMoviesWithRating_productionCountry,TvShowsAndMoviesWithRating_runtime,TvShowsAndMoviesWithRating_production_countries,TvShowsAndMoviesWithRating_available_on,IMDBMovies_Series_Title,IMDBMovies_IMDB_Rating,TvShowsAndMoviesWithRating_imdb_rating
7128,,,,,,,,,The Incredible Journey,Movie,Two dogs and a cat traverse the Canadian frontier to find their way home.,1963,G,"Canada, United States",80 min,,,,,The Incredible Journey,Movie,Two dogs and a cat traverse the Canadian frontier to find their way home.,1963,G,,80 min,"Canada, United States",Disney+,,,
7129,,,,,,,,,The Incredibles,Movie,"A family of Supers, forced to adopt civilian lives, returns to action.",2004,PG,United States,116 min,,,,,The Incredibles,Movie,"A family of Supers, forced to adopt civilian lives, returns to action.",2004,PG,,116 min,United States,Disney+,The Incredibles,8.4,8.0
7130,,,,,,,,,The Journey of Natty Gann,Movie,A brave young girl embarks on a cross-country search for her father.,1985,PG,United States,101 min,,,,,The Journey of Natty Gann,Movie,A brave young girl embarks on a cross-country search for her father.,1985,PG,,101 min,United States,Disney+,,,
7131,,,,,,,,,The Jungle Book 2,Movie,Mowgli must decide whether to live in the village or return to the jungle.,2003,G,"United States, Australia",77 min,,,,,The Jungle Book 2,Movie,Mowgli must decide whether to live in the village or return to the jungle.,2003,G,,77 min,"United States, Australia",Disney+,,,
7132,,,,,,,,,The Jungle Book: Mowgli's Story,Movie,Mowgli reflects on his childhood jungle adventures.,1998,G,United States,77 min,,,,,The Jungle Book: Mowgli's Story,Movie,Mowgli reflects on his childhood jungle adventures.,1998,G,,77 min,United States,Disney+,,,
7133,,,,,,,,,The Legend of Mor'du,Movie,A prince seeks control of a kingdom from his brothers through magic.,2012,TV-G,United States,8 min,,,,,The Legend of Mor'du,Movie,A prince seeks control of a kingdom from his brothers through magic.,2012,TV-G,,8 min,United States,Disney+,,,
7134,,,,,,,,,The Lion King 1 1/2,Movie,Timon and Pumbaa reveal how they helped Simba save the Serengeti.,2004,G,"Australia, United States",80 min,,,,,The Lion King 1 1/2,Movie,Timon and Pumbaa reveal how they helped Simba save the Serengeti.,2004,G,,80 min,"Australia, United States",Disney+,,,
7135,,,,,,,,,The Lion King 2: Simba's Pride,Movie,Simba's strong-willed daughter befriends the heir to Scar's pride.,1998,G,"United States, Australia",84 min,,,,,The Lion King 2: Simba's Pride,Movie,Simba's strong-willed daughter befriends the heir to Scar's pride.,1998,G,,84 min,"United States, Australia",Disney+,,,
7136,,,,,,,,,The Little Mermaid,Movie,Dive into Disney fun with Ariel in The Little Mermaid.,1989,G,United States,86 min,,,,,The Little Mermaid,Movie,Dive into Disney fun with Ariel in The Little Mermaid.,1989,G,,86 min,United States,Disney+,The Little Mermaid,4.6,7.6
7137,,,,,,,,,The Little Mermaid II:  Return to the Sea,Movie,Return To The Sea with The Little Mermaid’s daughter.,2000,G,"United States, Canada, Australia, Taiwan",77 min,,,,,The Little Mermaid II:  Return to the Sea,Movie,Return To The Sea with The Little Mermaid’s daughter.,2000,G,,77 min,"United States, Canada, Australia, Taiwan",Disney+,,,
7138,,,,,,,,,The Little Mermaid:  Ariel's Beginning,Movie,"Long before Prince Eric, Ariel faces a choice between family and music.",2008,G,United States,79 min,,,,,The Little Mermaid:  Ariel's Beginning,Movie,"Long before Prince Eric, Ariel faces a choice between family and music.",2008,G,,79 min,United States,Disney+,,,
7139,,,,,,,,,The Little Whirlwind,Movie,Mickey tries to clean Minnie's yard despite a playful whirlwind. See details for advisory.,1941,TV-Y7,United States,9 min,,,,,The Little Whirlwind,Movie,Mickey tries to clean Minnie's yard despite a playful whirlwind. See details for advisory.,1941,TV-Y7,,9 min,United States,Disney+,,,
7140,,,,,,,,,The Living Desert,Movie,The desert teems with vitality in this true-life adventure.,1953,G,United States,69 min,,,,,The Living Desert,Movie,The desert teems with vitality in this true-life adventure.,1953,G,,69 min,United States,Disney+,,,
7141,,,,,,,,,The Lizzie McGuire Movie,Movie,Lizzie McGuire and her pals go on a class trip to Italy.,2003,PG,United States,95 min,,,,,The Lizzie McGuire Movie,Movie,Lizzie McGuire and her pals go on a class trip to Italy.,2003,PG,,95 min,United States,Disney+,,,
7142,,,,,,,,,The Lost Tomb of Alexander the Great,Movie,An archaeologist on the hunt for Alexander the Great’s lost tomb makes an extraordinary discovery.,2019,TV-PG,United Kingdom,44 min,,,,,The Lost Tomb of Alexander the Great,Movie,An archaeologist on the hunt for Alexander the Great’s lost tomb makes an extraordinary discovery.,2019,TV-PG,,44 min,United Kingdom,Disney+,,,
7143,,,,,,,,,The Love Bug (1969),Movie,A down-on-his-luck race car driver teams up with a little VW Bug that has a mind of its own.,1969,G,United States,108 min,,,,,The Love Bug (1969),Movie,A down-on-his-luck race car driver teams up with a little VW Bug that has a mind of its own.,1969,G,,108 min,United States,Disney+,,,
7144,,,,,,,,,The Many Adventures of Winnie the Pooh,Movie,Experience the magical tales of Pooh and his Hundred Acre Wood friends.,1977,TV-Y,United States,75 min,,,,,The Many Adventures of Winnie the Pooh,Movie,Experience the magical tales of Pooh and his Hundred Acre Wood friends.,1977,TV-Y,,75 min,United States,Disney+,,,
7145,,,,,,,,,The Million Dollar Duck,Movie,A research scientist discovers his lab duck now lays golden eggs.,1971,G,United States,93 min,,,,,The Million Dollar Duck,Movie,A research scientist discovers his lab duck now lays golden eggs.,1971,G,,93 min,United States,Disney+,,,
7146,,,,,,,,,The Mistle-Tones,Movie,Holly forms a Christmas singing group to compete with a harsh rival.,2012,TV-PG,United States,87 min,,,,,The Mistle-Tones,Movie,Holly forms a Christmas singing group to compete with a harsh rival.,2012,TV-PG,,87 min,United States,Disney+,,,
7147,,,,,,,,,The Muppet Christmas Carol,Movie,The Muppets present their own touching rendition of Charles Dickens' classic tale.,1992,G,"United States, United Kingdom",87 min,,,,,The Muppet Christmas Carol,Movie,The Muppets present their own touching rendition of Charles Dickens' classic tale.,1992,G,,87 min,"United States, United Kingdom",Disney+,The Muppet Christmas Carol,5.5,7.7
7148,,,,,,,,,The Muppet Movie,Movie,"On his way to Hollywood, Kermit dodges a villain eager to serve him up as fried frog-legs.",1979,G,"United Kingdom, United States",95 min,,,,,The Muppet Movie,Movie,"On his way to Hollywood, Kermit dodges a villain eager to serve him up as fried frog-legs.",1979,G,,95 min,"United Kingdom, United States",Disney+,The Muppet Movie,8.5,7.6
7149,,,,,,,,,The Muppets,Movie,The Muppets' biggest fan reunites the gang to save their beloved theater.,2011,PG,United States,108 min,,,,,The Muppets,Movie,The Muppets' biggest fan reunites the gang to save their beloved theater.,2011,PG,,108 min,United States,Disney+,,,
7150,,,,,,,,,The Muppets (Series),TV Show,"""The Muppets"" return with a documentary-style show.",2015,TV-PG,United States,1 Season,,,,,The Muppets (Series),TV Show,"""The Muppets"" return with a documentary-style show.",2015,TV-PG,,1 Season,United States,Disney+,,,
7151,,,,,,,,,The New Adventures of Winnie the Pooh,TV Show,The stories of Winnie the Pooh and friends.,1988,TV-Y,United States,4 Seasons,,,,,The New Adventures of Winnie the Pooh,TV Show,The stories of Winnie the Pooh and friends.,1988,TV-Y,,4 Seasons,United States,Disney+,,,
7152,,,,,,,,,The Old Mill,Movie,Animals try to stay safe and dry in an old mill. See details for advisory.,1937,TV-Y7,United States,9 min,,,,,The Old Mill,Movie,Animals try to stay safe and dry in an old mill. See details for advisory.,1937,TV-Y7,,9 min,United States,Disney+,,,
7153,,,,,,,,,The Olympic Champ,Movie,Goofy demonstrates Olympic events to the narration of their history. See details for advisory.,1942,TV-G,United States,7 min,,,,,The Olympic Champ,Movie,Goofy demonstrates Olympic events to the narration of their history. See details for advisory.,1942,TV-G,,7 min,United States,Disney+,,,
7154,,,,,,,,,The Parent Trap,Movie,Identical twins scheme to switch places and reunite their divorced parents.,1998,PG,"United States, United Kingdom",129 min,,,,,The Parent Trap,Movie,Identical twins scheme to switch places and reunite their divorced parents.,1998,PG,,129 min,"United States, United Kingdom",Disney+,,,
7155,,,,,,,,,The Parent Trap (1961),Movie,"Twins separated at birth reunite, then switch places to try and get their parents back together.",1961,G,United States,129 min,,,,,The Parent Trap (1961),Movie,"Twins separated at birth reunite, then switch places to try and get their parents back together.",1961,G,,129 min,United States,Disney+,,,
7156,,,,,,,,,The Pied Piper,Movie,The Pied Piper lures the children out of town. See details for advisory.,1933,TV-G,United States,8 min,,,,,The Pied Piper,Movie,The Pied Piper lures the children out of town. See details for advisory.,1933,TV-G,,8 min,United States,Disney+,,,
7157,,,,,,,,,The Plausible Impossible (Disneyland: 1954-58),Movie,Walt Disney explains some of the techniques of animation. See details for advisory.,1956,TV-PG,United States,52 min,,,,,The Plausible Impossible (Disneyland: 1954-58),Movie,Walt Disney explains some of the techniques of animation. See details for advisory.,1956,TV-PG,,52 min,United States,Disney+,,,
7158,,,,,,,,,The Poof Point,Movie,Eddie and Marie’s parents invent a machine that makes them younger.,2001,TV-G,United States,80 min,,,,,The Poof Point,Movie,Eddie and Marie’s parents invent a machine that makes them younger.,2001,TV-G,,80 min,United States,Disney+,,,
7159,,,,,,,,,The Prince and the Pauper,Movie,"After meeting his lookalike, a prince trades places with a pauper. See details for advisory.",1962,G,United Kingdom,94 min,,,,,The Prince and the Pauper,Movie,"After meeting his lookalike, a prince trades places with a pauper. See details for advisory.",1962,G,,94 min,United Kingdom,Disney+,,,
7160,,,,,,,,,The Princess and the Frog,Movie,A fateful kiss with a frog sends Tiana on a mystical bayou adventure.,2009,G,United States,99 min,,,,,The Princess and the Frog,Movie,A fateful kiss with a frog sends Tiana on a mystical bayou adventure.,2009,G,,99 min,United States,Disney+,,,
7161,,,,,,,,,The Princess Diaries,Movie,A teenager discovers that she is the princess of a small European country.,2001,G,"United States, United Kingdom",116 min,,,,,The Princess Diaries,Movie,A teenager discovers that she is the princess of a small European country.,2001,G,,116 min,"United States, United Kingdom",Disney+,,,
7162,,,,,,,,,The Princess Diaries 2: Royal Engagement,Movie,Princess Mia has 30 days to find a husband... or she can't become queen.,2004,G,United States,114 min,,,,,The Princess Diaries 2: Royal Engagement,Movie,Princess Mia has 30 days to find a husband... or she can't become queen.,2004,G,,114 min,United States,Disney+,,,
7163,,,,,,,,,The Proud Family Movie,Movie,Penny's boring family vacation becomes a mysterious island adventure.,2005,TV-G,United States,95 min,,,,,The Proud Family Movie,Movie,Penny's boring family vacation becomes a mysterious island adventure.,2005,TV-G,,95 min,United States,Disney+,,,
7164,,,,,,,,,The Reluctant Dragon,Movie,Robert Benchley gives a behind-the-scenes look at how animation is created.,1941,G,United States,74 min,,,,,The Reluctant Dragon,Movie,Robert Benchley gives a behind-the-scenes look at how animation is created.,1941,G,,74 min,United States,Disney+,,,
7165,,,,,,,,,The Rescuers,Movie,Two mice rush to help an orphan girl in the clutches of an evil woman.,1977,G,United States,78 min,,,,,The Rescuers,Movie,Two mice rush to help an orphan girl in the clutches of an evil woman.,1977,G,,78 min,United States,Disney+,,,
7166,,,,,,,,,The Rescuers Down Under,Movie,Bernard and Bianca race to Australia to save a boy from a vile poacher.,1990,G,United States,78 min,,,,,The Rescuers Down Under,Movie,Bernard and Bianca race to Australia to save a boy from a vile poacher.,1990,G,,78 min,United States,Disney+,,,
7167,,,,,,,,,The Rookie,Movie,A high school baseball coach gets a second chance as a big-league pitcher.,2002,G,United States,129 min,,,,,The Rookie,Movie,A high school baseball coach gets a second chance as a big-league pitcher.,2002,G,,129 min,United States,Disney+,,,
7168,,,,,,,,,The Santa Clause,Movie,A bizarre twist of fate transforms a divorced dad into the new Santa.,1994,PG,"United States, Canada",98 min,,,,,The Santa Clause,Movie,A bizarre twist of fate transforms a divorced dad into the new Santa.,1994,PG,,98 min,"United States, Canada",Disney+,,,
7169,,,,,,,,,The Santa Clause 2,Movie,Scott Calvin must get married by Christmas Eve or lose his title as Santa.,2002,G,"United States, Canada",106 min,,,,,The Santa Clause 2,Movie,Scott Calvin must get married by Christmas Eve or lose his title as Santa.,2002,G,,106 min,"United States, Canada",Disney+,,,
7170,,,,,,,,,The Santa Clause 3: The Escape Clause,Movie,The holidays take a chaotic turn when Jack Frost puts a freeze on Christmas.,2006,G,"United States, Canada",94 min,,,,,The Santa Clause 3: The Escape Clause,Movie,The holidays take a chaotic turn when Jack Frost puts a freeze on Christmas.,2006,G,,94 min,"United States, Canada",Disney+,,,
7171,,,,,,,,,The Scream Team,Movie,Ian and Claire Carlyle discover that ghosts really do exist!,2002,TV-PG,United States,88 min,,,,,The Scream Team,Movie,Ian and Claire Carlyle discover that ghosts really do exist!,2002,TV-PG,,88 min,United States,Disney+,,,
7172,,,,,,,,,The Secret of the Magic Gourd,Movie,A boy's world is turned upside down when he hooks a wish-granting gourd.,2009,G,"China, Hong Kong, United States",84 min,,,,,The Secret of the Magic Gourd,Movie,A boy's world is turned upside down when he hooks a wish-granting gourd.,2009,G,,84 min,"China, Hong Kong, United States",Disney+,,,
7173,,,,,,,,,The Shaggy D.A.,Movie,A District Attorney candidate finds himself transformed into a sheepdog.,1976,G,United States,92 min,,,,,The Shaggy D.A.,Movie,A District Attorney candidate finds himself transformed into a sheepdog.,1976,G,,92 min,United States,Disney+,,,
7174,,,,,,,,,The Shaggy Dog,Movie,A magical ring transforms a teenager into a lumbering sheepdog.,1959,G,United States,102 min,,,,,The Shaggy Dog,Movie,A magical ring transforms a teenager into a lumbering sheepdog.,1959,G,,102 min,United States,Disney+,,,
7175,,,,,,,,,The Sign of Zorro,Movie,Don Diego dons the mask of Zorro to free his town from a dictator. See details for advisory.,1960,G,United States,90 min,,,,,The Sign of Zorro,Movie,Don Diego dons the mask of Zorro to free his town from a dictator. See details for advisory.,1960,G,,90 min,United States,Disney+,,,
7176,,,,,,,,,The Simple Things,Movie,Mickey and Pluto go fishing at the beach. See details for advisory.,1953,TV-G,United States,8 min,,,,,The Simple Things,Movie,Mickey and Pluto go fishing at the beach. See details for advisory.,1953,TV-G,,8 min,United States,Disney+,,,
7177,,,,,,,,,The Sound of Music,Movie,A governess wins the hearts of many and leads the Von Trapp family to their 1938 flight to freedom.,1965,G,United States,175 min,,,,,The Sound of Music,Movie,A governess wins the hearts of many and leads the Von Trapp family to their 1938 flight to freedom.,1965,G,,175 min,United States,Disney+,The Sound of Music,7.7,8.0
7178,,,,,,,,,The Story of Robin Hood And His Merrie Men,Movie,Prince John conspires to gain power when King Richard leaves England.,1952,PG,United Kingdom,84 min,,,,,The Story of Robin Hood And His Merrie Men,Movie,Prince John conspires to gain power when King Richard leaves England.,1952,PG,,84 min,United Kingdom,Disney+,,,
7179,,,,,,,,,The Strongest Man in the World,Movie,A college science wiz gains super strength in a lab accident. See details for advisory.,1975,G,United States,92 min,,,,,The Strongest Man in the World,Movie,A college science wiz gains super strength in a lab accident. See details for advisory.,1975,G,,92 min,United States,Disney+,,,
7180,,,,,,,,,The Suite Life Movie,Movie,Zack and Cody become truly connected after joining a twin research study.,2011,TV-G,United States,81 min,,,,,The Suite Life Movie,Movie,Zack and Cody become truly connected after joining a twin research study.,2011,TV-G,,81 min,United States,Disney+,,,
7181,,,,,,,,,The Suite Life of Zack & Cody,TV Show,Twin brothers Zack and Cody get to live with their single mom in Boston's swankiest hotel.,2004,TV-G,United States,3 Seasons,The Suite Life of Zack & Cody,6.5,,,The Suite Life of Zack & Cody,TV Show,Twin brothers Zack and Cody get to live with their single mom in Boston's swankiest hotel.,2004,TV-G,,3 Seasons,United States,Disney+,,,6.5
7182,,,,,,,,,The Suite Life On Deck,TV Show,"Zack and Cody Martin are aboard the SS Tipton, a luxury passenger cruise liner.",2008,TV-G,United States,3 Seasons,,,,,The Suite Life On Deck,TV Show,"Zack and Cody Martin are aboard the SS Tipton, a luxury passenger cruise liner.",2008,TV-G,,3 Seasons,United States,Disney+,,,
7183,,,,,,,,,The Swap,Movie,Classmates Ellie and Jack unexplainably trigger a real-life body swap.,2016,TV-G,United States,91 min,,,,,The Swap,Movie,Classmates Ellie and Jack unexplainably trigger a real-life body swap.,2016,TV-G,,91 min,United States,Disney+,,,
7184,,,,,,,,,The Thirteenth Year,Movie,Cody learns he can communicate with fish as he nears his 13th birthday.,1999,TV-G,United States,89 min,,,,,The Thirteenth Year,Movie,Cody learns he can communicate with fish as he nears his 13th birthday.,1999,TV-G,,89 min,United States,Disney+,,,
7185,,,,,,,,,The Three Caballeros,Movie,Magical gifts from his friends send Donald on a musical journey. See details for advisory.,1945,G,United States,72 min,,,,,The Three Caballeros,Movie,Magical gifts from his friends send Donald on a musical journey. See details for advisory.,1945,G,,72 min,United States,Disney+,,,
7186,,,,,,,,,The Three Musketeers,Movie,Three loyal swordsmen and an eager recruit unite to protect the King.,1993,PG,"Austria, United Kingdom, United States",106 min,,,,,The Three Musketeers,Movie,Three loyal swordsmen and an eager recruit unite to protect the King.,1993,PG,,106 min,"Austria, United Kingdom, United States",Disney+,,,
7187,,,,,,,,,The Tigger Movie,Movie,Tigger goes looking through the Hundred Acre Wood to find his family.,2000,G,"United States, Japan",81 min,,,,,The Tigger Movie,Movie,Tigger goes looking through the Hundred Acre Wood to find his family.,2000,G,,81 min,"United States, Japan",Disney+,,,
7188,,,,,,,,,The Tortoise and the Hare,Movie,"Hare stops to show off, and the slower Tortoise wins the race. See details for advisory.",1935,TV-G,United States,9 min,,,,,The Tortoise and the Hare,Movie,"Hare stops to show off, and the slower Tortoise wins the race. See details for advisory.",1935,TV-G,,9 min,United States,Disney+,,,
7189,,,,,,,,,The Ugly Dachshund,Movie,The Garrisons live with a Great Dane who thinks he's a dainty dachshund. See details for advisory.,1966,TV-G,United States,93 min,,,,,The Ugly Dachshund,Movie,The Garrisons live with a Great Dane who thinks he's a dainty dachshund. See details for advisory.,1966,TV-G,,93 min,United States,Disney+,,,
7190,,,,,,,,,The Ugly Duckling,Movie,A baby duckling is shunned by his family because he is different. See details for advisory.,1939,TV-Y7,United States,9 min,,,,,The Ugly Duckling,Movie,A baby duckling is shunned by his family because he is different. See details for advisory.,1939,TV-Y7,,9 min,United States,Disney+,,,
7191,,,,,,,,,The Ultimate Christmas Present,Movie,Allie and Sam lose control of Santa's weather machine.,2000,TV-G,"Canada, United States",81 min,,,,,The Ultimate Christmas Present,Movie,Allie and Sam lose control of Santa's weather machine.,2000,TV-G,,81 min,"Canada, United States",Disney+,,,
7192,,,,,,,,,The Vanishing Prairie,Movie,The story of the American prairie amidst the march of civilization.,1954,G,United States,71 min,,,,,The Vanishing Prairie,Movie,The story of the American prairie amidst the march of civilization.,1954,G,,71 min,United States,Disney+,,,
7193,,,,,,,,,The Wild,Movie,"A band of animals escape from the zoo, into the wilds of New York City.",2006,G,"Canada, United States",86 min,,,,,The Wild,Movie,"A band of animals escape from the zoo, into the wilds of New York City.",2006,G,,86 min,"Canada, United States",Disney+,,,
7194,,,,,,,,,The Wise Little Hen,Movie,Donald Duck learns that you must work for a harvest. See details for advisory.,1934,TV-G,United States,8 min,,,,,The Wise Little Hen,Movie,Donald Duck learns that you must work for a harvest. See details for advisory.,1934,TV-G,,8 min,United States,Disney+,,,
7195,,,,,,,,,The Wizards Return: Alex vs. Alex,Movie,Alex creates a good and evil version of herself.,2013,TV-G,United States,59 min,,,,,The Wizards Return: Alex vs. Alex,Movie,Alex creates a good and evil version of herself.,2013,TV-G,,59 min,United States,Disney+,,,
7196,,,,,,,,,The World According to Jeff Goldblum,TV Show,Jeff Goldblum explores the fascinating science and history of deceptively familiar objects.,2019,TV-PG,United States,2 Seasons,,,,,The World According to Jeff Goldblum,TV Show,Jeff Goldblum explores the fascinating science and history of deceptively familiar objects.,2019,TV-PG,,2 Seasons,United States,Disney+,,,
7197,,,,,,,,,The Young Black Stallion,Movie,A girl risks her treasured black stallion to save her family home.,2003,G,United States,51 min,,,,,The Young Black Stallion,Movie,A girl risks her treasured black stallion to save her family home.,2003,G,,51 min,United States,Disney+,,,
7198,,,,,,,,,Three Blind Mouseketeers,Movie,Captain Katt sets traps for the Three Mouseketeers. See details for advisory.,1936,TV-Y7,United States,9 min,,,,,Three Blind Mouseketeers,Movie,Captain Katt sets traps for the Three Mouseketeers. See details for advisory.,1936,TV-Y7,,9 min,United States,Disney+,,,
7199,,,,,,,,,Three Days,Movie,An angel lets a man relive the days before his wife's death.,2001,TV-G,United States,93 min,,,,,Three Days,Movie,An angel lets a man relive the days before his wife's death.,2001,TV-G,,93 min,United States,Disney+,,,
7200,,,,,,,,,Three Little Pigs,Movie,A Disney telling of the Three Little Pigs. See details for advisory.,1933,TV-Y7,United States,9 min,,,,,Three Little Pigs,Movie,A Disney telling of the Three Little Pigs. See details for advisory.,1933,TV-Y7,,9 min,United States,Disney+,,,
7201,,,,,,,,,Three Little Wolves,Movie,Two frivolous pigs blow the wolf horn one too many times. See details for advisory.,1936,TV-Y7,United States,9 min,,,,,Three Little Wolves,Movie,Two frivolous pigs blow the wolf horn one too many times. See details for advisory.,1936,TV-Y7,,9 min,United States,Disney+,,,
7202,,,,,,,,,Three Men and a Baby,Movie,"Handsome men trade wine, women and song for crib, pacifier and diaper.",1987,PG,"United States, France",103 min,,,,,Three Men and a Baby,Movie,"Handsome men trade wine, women and song for crib, pacifier and diaper.",1987,PG,,103 min,"United States, France",Disney+,,,
7203,,,,,,,,,Three Men and a Little Lady,Movie,"Just as three doting fathers are getting the hang of parenthood, their daughter is taken from them.",1990,PG,United States,104 min,,,,,Three Men and a Little Lady,Movie,"Just as three doting fathers are getting the hang of parenthood, their daughter is taken from them.",1990,PG,,104 min,United States,Disney+,,,
7204,,,,,,,,,Thru the Mirror,Movie,Mickey dreams he goes through his mirror to the other side. See details for advisory.,1936,TV-G,United States,10 min,,,,,Thru the Mirror,Movie,Mickey dreams he goes through his mirror to the other side. See details for advisory.,1936,TV-G,,10 min,United States,Disney+,,,
7205,,,,,,,,,Tiger Cruise,Movie,"Maddie Dolan is tired of being labeled a “Navy brat.""",2004,TV-PG,United States,88 min,,,,,Tiger Cruise,Movie,"Maddie Dolan is tired of being labeled a “Navy brat.""",2004,TV-PG,,88 min,United States,Disney+,,,
7206,,,,,,,,,Tim Burton’s The Nightmare Before Christmas,Movie,Pumpkin King Jack Skellington tries to take over Christmas.,1993,PG,United States,78 min,,,,,Tim Burton’s The Nightmare Before Christmas,Movie,Pumpkin King Jack Skellington tries to take over Christmas.,1993,PG,,78 min,United States,Disney+,,,
7207,,,,,,,,,Timon & Pumbaa,TV Show,"Timon, a meerkat, and Pumbaa, a warthog, join together for misadventures in the jungle.",1995,TV-Y,United States,3 Seasons,Timon & Pumbaa,7.1,,,Timon & Pumbaa,TV Show,"Timon, a meerkat, and Pumbaa, a warthog, join together for misadventures in the jungle.",1995,TV-Y,,3 Seasons,United States,Disney+,,,7.1
7208,,,,,,,,,Tin Toy,Movie,"A scared, Tin Toy realizes he really wants to play.",1988,TV-G,United States,5 min,,,,,Tin Toy,Movie,"A scared, Tin Toy realizes he really wants to play.",1988,TV-G,,5 min,United States,Disney+,,,
7209,,,,,,,,,Tinker Bell,Movie,The story of Disney's most famous fairy is finally revealed.,2008,G,United States,81 min,,,,,Tinker Bell,Movie,The story of Disney's most famous fairy is finally revealed.,2008,G,,81 min,United States,Disney+,,,
7210,,,,,,,,,Tinker Bell and the Great Fairy Rescue,Movie,Tink risks her own safety when she befriends a curious human girl.,2010,G,United States,80 min,,,,,Tinker Bell and the Great Fairy Rescue,Movie,Tink risks her own safety when she befriends a curious human girl.,2010,G,,80 min,United States,Disney+,,,
7211,,,,,,,,,Tinker Bell and the Lost Treasure,Movie,Tink has to set things right when her temper puts Pixie Hollow in danger.,2009,G,United States,84 min,,,,,Tinker Bell and the Lost Treasure,Movie,Tink has to set things right when her temper puts Pixie Hollow in danger.,2009,G,,84 min,United States,Disney+,,,
7212,,,,,,,,,Titanic: 20 Years Later With James Cameron,Movie,James Cameron revisits his blockbuster film in light of new Titanic research.,2017,TV-PG,United States,47 min,,,,,Titanic: 20 Years Later With James Cameron,Movie,James Cameron revisits his blockbuster film in light of new Titanic research.,2017,TV-PG,,47 min,United States,Disney+,,,
7213,,,,,,,,,Toby Tortoise Returns,Movie,Max Hare and Toby Tortoise are opponents in a boxing match. See details for advisory.,1936,TV-Y7,United States,8 min,,,,,Toby Tortoise Returns,Movie,Max Hare and Toby Tortoise are opponents in a boxing match. See details for advisory.,1936,TV-Y7,,8 min,United States,Disney+,,,
7214,,,,,,,,,Tom and Huck,Movie,America's legendary teenage heroes Tom and Huck team-up to save a man from being wrongly accused.,1995,PG,United States,92 min,,,,,Tom and Huck,Movie,America's legendary teenage heroes Tom and Huck team-up to save a man from being wrongly accused.,1995,PG,,92 min,United States,Disney+,,,
7215,,,,,,,,,Toy Story,Movie,"Meet Woody, Buzz and the gang in an adventure full of humor and heart.",1995,G,United States,83 min,,,,,Toy Story,Movie,"Meet Woody, Buzz and the gang in an adventure full of humor and heart.",1995,G,,83 min,United States,Disney+,Toy Story,8.0,8.3
7216,,,,,,,,,Toy Story 2,Movie,"Join Woody, Buzz, Jessie and the gang to boldly rescue one of their own.",1999,G,United States,93 min,,,,,Toy Story 2,Movie,"Join Woody, Buzz, Jessie and the gang to boldly rescue one of their own.",1999,G,,93 min,United States,Disney+,Toy Story 2,8.3,7.9
7217,,,,,,,,,Toy Story 3,Movie,"Woody, Buzz and the gang return for more adventures with new friends.",2010,G,United States,103 min,,,,,Toy Story 3,Movie,"Woody, Buzz and the gang return for more adventures with new friends.",2010,G,,103 min,United States,Disney+,Toy Story 3,8.6,8.2
7218,,,,,,,,,Toy Story Toons: Hawaiian Vacation,Movie,Ken and Barbie get the vacation of their dreams.,2011,G,United States,6 min,,,,,Toy Story Toons: Hawaiian Vacation,Movie,Ken and Barbie get the vacation of their dreams.,2011,G,,6 min,United States,Disney+,,,
7219,,,,,,,,,Toy Story Toons: Partysaurus Rex,Movie,Rex throws an over-the-top bath time bash!,2012,G,United States,9 min,,,,,Toy Story Toons: Partysaurus Rex,Movie,Rex throws an over-the-top bath time bash!,2012,G,,9 min,United States,Disney+,,,
7220,,,,,,,,,Toy Story Toons: Small Fry,Movie,Buzz is replaced by a miniature version of himself.,2011,G,United States,10 min,,,,,Toy Story Toons: Small Fry,Movie,Buzz is replaced by a miniature version of himself.,2011,G,,10 min,United States,Disney+,,,
7221,,,,,,,,,Trail of the Panda,Movie,A mute orphan boy rescues a lost panda cub in the mountains of China.,2009,G,China,89 min,,,,,Trail of the Panda,Movie,A mute orphan boy rescues a lost panda cub in the mountains of China.,2009,G,,89 min,China,Disney+,,,
7222,,,,,,,,,Trailer Horn,Movie,Donald heads out for a nice relaxing camping trip. See details for advisory.,1950,TV-G,United States,7 min,,,,,Trailer Horn,Movie,Donald heads out for a nice relaxing camping trip. See details for advisory.,1950,TV-G,,7 min,United States,Disney+,,,
7223,,,,,,,,,Treasure Island,Movie,The classic tale of a young boy's search for buried treasure.,1950,PG,"United Kingdom, United States",96 min,,,,,Treasure Island,Movie,The classic tale of a young boy's search for buried treasure.,1950,PG,,96 min,"United Kingdom, United States",Disney+,,,
7224,,,,,,,,,Treasure of Matecumbe,Movie,"Using a secret map, friends face a dangerous search for pirate gold. See details for advisory.",1976,G,United States,116 min,,,,,Treasure of Matecumbe,Movie,"Using a secret map, friends face a dangerous search for pirate gold. See details for advisory.",1976,G,,116 min,United States,Disney+,,,
